team,meds,x,y,cluster
SVK,41,-1.4415768522059011,0.35075427825003264,3
BAH,40,-1.8015671616842712,-0.27838513088274,3
KAZ,27,-1.629183266583566,-0.5287036077187722,3
CHN,383,2.0834919525760345,-1.1080564206728512,0
PAR,17,-1.9490960041502958,-0.03249227994263135,3
POR,28,-1.7391154068173662,-0.08960651613714167,3
GUA,1,-2.0777414961124965,-0.11738662290768011,3
LUX,2,-2.085808931327648,-0.15179560235490278,3
TAN,2,-2.085734897804156,-0.10606100524096392,3
LIB,3,-2.0396143949765793,-0.16079384015255896,3
KGZ,2,-2.056189549939777,-0.21447736488933275,3
COL,13,-1.8911194854792641,-0.11725581597332406,3
LAT,14,-1.9269541825798402,-0.08521527053404383,3
AHO,1,-2.0623197545420906,-0.11587540636848416,3
GEO,19,-1.7222980548336644,-0.5420176752886847,3
CRO,31,-1.7684247578210985,-0.06727987079963767,3
TOG,1,-2.0855881717408717,-0.10599029349327045,3
ALG,9,-2.045356564201192,-0.18434296639253547,3
PER,3,-2.0500561289140387,-0.16856571596806066,3
SLO,25,-1.794292157023324,-0.03270005562423876,3
ZIM,22,-1.9796038732308137,0.0359434287063039,3
TPE,2,-2.0832418963615433,-0.13320333598441006,3
MGL,11,-1.8717776196802678,-0.39547972547905436,3
PUR,2,-2.066843124887531,-0.07787961204546964,3
IRL,15,-1.9721607881121839,-0.17146213783819556,3
VEN,6,-2.02777647316614,-0.11497914973815691,3
SEN,1,-2.0931321258421787,-0.06092301285633697,3
UZB,11,-1.9067811905723315,-0.3301612762796159,3
ISL,2,-2.0690154424664993,-0.08214921440129444,3
EST,32,-1.623022784373609,-0.24521969774913263,3
NAM,4,-2.0712974510563322,-0.12361688243896042,3
ISR,4,-2.010749026181153,-0.05552276035263251,3
VNM,2,-2.1108803296232246,-0.1918587410646381,3
ISV,1,-2.082980329813478,-0.09638266262551672,3
PRK,16,-1.8320918144757827,-0.5009960673875955,3
MKD,1,-2.0774704845871996,-0.12029644748863817,3
SUD,1,-2.073078643712537,-0.03189131260091452,3
BRN,3,-2.091331168620991,-0.2265524435090742,3
GRN,2,-2.0721723963589147,-0.10889997654211588,3
SRI,2,-2.0962544843836404,-0.18870471086859505,3
MDA,4,-2.031589521894494,-0.08996328835354005,3
CYP,1,-2.0656043801491135,-0.07395327262253762,3
PAN,3,-2.07132008655783,-0.09051359216832018,3
ZAM,1,-2.0926767258802186,-0.09034637571608851,3
MOZ,2,-2.0935085576923598,-0.19969884645302446,3
SUR,2,-2.074272260558259,-0.09804257022942021,3
BDI,2,-2.0815568066999495,-0.1640868652157769,3
ECU,2,-2.1023472690252727,-0.19864256567480718,3
CRC,4,-2.052772991598688,-0.041181884662957996,3
DJI,1,-2.1046507320631274,-0.12277720706247154,3
DOM,3,-2.0852804783605676,-0.14777461142443662,3
SGP,1,-2.0770040183686143,-0.07636360838811443,3
ERI,1,-2.0922562430897553,-0.22022477872399124,3
BAR,1,-2.082878866007757,-0.08927292652445569,3
CIV,1,-2.073849199657034,-0.0957763303086371,3
PHI,4,-2.0690900290495957,-0.14731599606669268,3
